DATE,MEDLISPRICO
2016-07-01,424900.0
2016-08-01,424900.0
2016-09-01,423315.0
2016-10-01,421065.0
2016-11-01,424975.0
2016-12-01,425000.0
2017-01-01,432500.0
2017-02-01,445000.0
2017-03-01,449962.0
2017-04-01,450000.0
2017-05-01,456351.0
2017-06-01,455975.0
2017-07-01,453900.0
2017-08-01,449700.0
2017-09-01,449900.0
2017-10-01,449972.0
2017-11-01,449450.0
2017-12-01,450000.0
2018-01-01,457000.0
2018-02-01,472473.0
2018-03-01,479022.0
2018-04-01,476619.0
2018-05-01,474900.0
2018-06-01,473915.0
2018-07-01,463656.0
2018-08-01,452500.0
2018-09-01,450000.0
2018-10-01,449897.0
2018-11-01,449000.0
2018-12-01,449900.0
2019-01-01,450000.0
2019-02-01,462400.0
2019-03-01,472086.0
2019-04-01,475000.0
2019-05-01,476500.0
2019-06-01,479900.0
2019-07-01,479000.0
2019-08-01,472273.0
2019-09-01,468182.0
2019-10-01,467405.0
2019-11-01,469900.0
2019-12-01,471450.0
2020-01-01,481333.0
2020-02-01,499500.0
2020-03-01,508270.0
2020-04-01,499450.0
2020-05-01,499900.0
2020-06-01,515300.0
2020-07-01,519950.0
2020-08-01,519900.0
2020-09-01,505000.0
2020-10-01,500383.0
2020-11-01,506146.0
2020-12-01,509500.0
2021-01-01,519888.0
2021-02-01,528975.0
2021-03-01,545000.0
2021-04-01,552000.0
2021-05-01,575000.0
2021-06-01,583450.0
2021-07-01,580000.0
2021-08-01,579500.0
2021-09-01,575000.0
2021-10-01,575000.0
2021-11-01,566904.0
2021-12-01,549450.0
2022-01-01,575000.0
2022-02-01,597000.0
2022-03-01,610239.0
2022-04-01,629000.0
2022-05-01,649450.0
2022-06-01,647500.0
2022-07-01,629000.0
2022-08-01,614300.0
2022-09-01,600000.0
